sample,Phylum,SeqAbundance,PercentPhylum,trophicstate,filter,lakenames,limnion
BASH13um,Epsilonproteobacteria,10,0.1,Productive,Particle,Baseline,Bottom
BASH13um,Gammaproteobacteria,335,3.25,Productive,Particle,Baseline,Bottom
BASH13um,SPOTSOCT00m83,0,0,Productive,Particle,Baseline,Bottom
BASH13um,TA18,0,0,Productive,Particle,Baseline,Bottom
BASH2,Alphaproteobacteria,36,0.35,Productive,Free,Baseline,Bottom
BASH2,Betaproteobacteria,1143,11.1,Productive,Free,Baseline,Bottom
BASH2,Deltaproteobacteria,399,3.87,Productive,Free,Baseline,Bottom
BASH2,Epsilonproteobacteria,65,0.63,Productive,Free,Baseline,Bottom
BASH2,Gammaproteobacteria,132,1.28,Productive,Free,Baseline,Bottom
BASH2,SPOTSOCT00m83,0,0,Productive,Free,Baseline,Bottom
BASH2,TA18,0,0,Productive,Free,Baseline,Bottom
BASH23um,Alphaproteobacteria,52,0.5,Productive,Particle,Baseline,Bottom
BASH23um,Betaproteobacteria,484,4.69,Productive,Particle,Baseline,Bottom
BASH23um,Deltaproteobacteria,632,6.13,Productive,Particle,Baseline,Bottom
BASH23um,Epsilonproteobacteria,4,0.04,Productive,Particle,Baseline,Bottom
BASH23um,Gammaproteobacteria,276,2.68,Productive,Particle,Baseline,Bottom
BASH23um,SPOTSOCT00m83,0,0,Productive,Particle,Baseline,Bottom
BASH23um,TA18,6,0.06,Productive,Particle,Baseline,Bottom
BRIE1,Alphaproteobacteria,317,3.08,Productive,Free,Bristol,Top
BRIE1,Betaproteobacteria,1683,16.34,Productive,Free,Bristol,Top
BRIE1,Deltaproteobacteria,63,0.61,Productive,Free,Bristol,Top
BRIE1,Epsilonproteobacteria,0,0,Productive,Free,Bristol,Top
BRIE1,Gammaproteobacteria,86,0.83,Productive,Free,Bristol,Top
BRIE1,SPOTSOCT00m83,0,0,Productive,Free,Bristol,Top
BRIE1,TA18,16,0.16,Productive,Free,Bristol,Top
BRIE13um,Alphaproteobacteria,968,9.39,Productive,Particle,Bristol,Top
BRIE13um,Betaproteobacteria,348,3.38,Productive,Particle,Bristol,Top
BRIE13um,Deltaproteobacteria,65,0.63,Productive,Particle,Bristol,Top
BRIE13um,Epsilonproteobacteria,0,0,Productive,Particle,Bristol,Top
BRIE13um,Gammaproteobacteria,60,0.58,Productive,Particle,Bristol,Top
BRIE13um,SPOTSOCT00m83,0,0,Productive,Particle,Bristol,Top
BRIE13um,TA18,33,0.32,Productive,Particle,Bristol,Top
BRIE2,Alphaproteobacteria,276,2.68,Productive,Free,Bristol,Top
BRIE2,Betaproteobacteria,1380,13.39,Productive,Free,Bristol,Top
BRIE2,Deltaproteobacteria,44,0.43,Productive,Free,Bristol,Top
BRIE2,Epsilonproteobacteria,0,0,Productive,Free,Bristol,Top
BRIE2,Gammaproteobacteria,73,0.71,Productive,Free,Bristol,Top
BRIE2,SPOTSOCT00m83,0,0,Productive,Free,Bristol,Top
BRIE2,TA18,17,0.16,Productive,Free,Bristol,Top
BRIE23um,Alphaproteobacteria,824,8,Productive,Particle,Bristol,Top
BRIE23um,Betaproteobacteria,200,1.94,Productive,Particle,Bristol,Top
BRIE23um,Deltaproteobacteria,50,0.49,Productive,Particle,Bristol,Top
BRIE23um,Epsilonproteobacteria,0,0,Productive,Particle,Bristol,Top
BRIE23um,Gammaproteobacteria,24,0.23,Productive,Particle,Bristol,Top
BRIE23um,SPOTSOCT00m83,0,0,Productive,Particle,Bristol,Top
BRIE23um,TA18,21,0.2,Productive,Particle,Bristol,Top
BRIH1,Alphaproteobacteria,19,0.18,Productive,Free,Bristol,Bottom
BRIH1,Betaproteobacteria,1951,18.94,Productive,Free,Bristol,Bottom
BRIH1,Deltaproteobacteria,251,2.44,Productive,Free,Bristol,Bottom
BRIH1,Epsilonproteobacteria,23,0.22,Productive,Free,Bristol,Bottom
BRIH1,Gammaproteobacteria,316,3.07,Productive,Free,Bristol,Bottom
BRIH1,SPOTSOCT00m83,0,0,Productive,Free,Bristol,Bottom
BRIH1,TA18,0,0,Productive,Free,Bristol,Bottom
BRIH13um,Alphaproteobacteria,74,0.72,Productive,Particle,Bristol,Bottom
BRIH13um,Betaproteobacteria,1253,12.15,Productive,Particle,Bristol,Bottom
BRIH13um,Deltaproteobacteria,656,6.36,Productive,Particle,Bristol,Bottom
BRIH13um,Epsilonproteobacteria,5,0.05,Productive,Particle,Bristol,Bottom
BRIH13um,Gammaproteobacteria,396,3.84,Productive,Particle,Bristol,Bottom
BRIH13um,SPOTSOCT00m83,0,0,Productive,Particle,Bristol,Bottom
BRIH13um,TA18,0,0,Productive,Particle,Bristol,Bottom
BRIH2,Alphaproteobacteria,17,0.17,Productive,Free,Bristol,Bottom
BRIH2,Betaproteobacteria,2030,19.73,Productive,Free,Bristol,Bottom
BRIH2,Deltaproteobacteria,227,2.21,Productive,Free,Bristol,Bottom
BRIH2,Epsilonproteobacteria,22,0.21,Productive,Free,Bristol,Bottom
BRIH2,Gammaproteobacteria,257,2.5,Productive,Free,Bristol,Bottom
BRIH2,SPOTSOCT00m83,0,0,Productive,Free,Bristol,Bottom
BRIH2,TA18,0,0,Productive,Free,Bristol,Bottom
BRIH23um,Alphaproteobacteria,56,0.54,Productive,Particle,Bristol,Bottom
BRIH23um,Betaproteobacteria,1261,12.24,Productive,Particle,Bristol,Bottom
BRIH23um,Deltaproteobacteria,638,6.19,Productive,Particle,Bristol,Bottom
BRIH23um,Epsilonproteobacteria,7,0.07,Productive,Particle,Bristol,Bottom
BRIH23um,Gammaproteobacteria,366,3.55,Productive,Particle,Bristol,Bottom
BRIH23um,SPOTSOCT00m83,0,0,Productive,Particle,Bristol,Bottom
BRIH23um,TA18,0,0,Productive,Particle,Bristol,Bottom
BSTE1,Alphaproteobacteria,74,0.72,Productive,Free,Bassett,Top
BSTE1,Betaproteobacteria,842,8.17,Productive,Free,Bassett,Top
BSTE1,Deltaproteobacteria,66,0.64,Productive,Free,Bassett,Top
BSTE1,Epsilonproteobacteria,0,0,Productive,Free,Bassett,Top
BSTE1,Gammaproteobacteria,0,0,Productive,Free,Bassett,Top
BSTE1,SPOTSOCT00m83,0,0,Productive,Free,Bassett,Top
BSTE1,TA18,0,0,Productive,Free,Bassett,Top
BSTE13um,Alphaproteobacteria,812,7.88,Productive,Particle,Bassett,Top
BSTE13um,Betaproteobacteria,308,2.99,Productive,Particle,Bassett,Top
BSTE13um,Deltaproteobacteria,59,0.57,Productive,Particle,Bassett,Top
BSTE13um,Epsilonproteobacteria,0,0,Productive,Particle,Bassett,Top
BSTE13um,Gammaproteobacteria,0,0,Productive,Particle,Bassett,Top
BSTE13um,SPOTSOCT00m83,0,0,Productive,Particle,Bassett,Top
BSTE13um,TA18,0,0,Productive,Particle,Bassett,Top
BSTE23um,Alphaproteobacteria,931,9.04,Productive,Particle,Bassett,Top
BSTE23um,Betaproteobacteria,361,3.5,Productive,Particle,Bassett,Top
BSTE23um,Deltaproteobacteria,73,0.71,Productive,Particle,Bassett,Top
BSTE23um,Epsilonproteobacteria,0,0,Productive,Particle,Bassett,Top
BSTE23um,Gammaproteobacteria,0,0,Productive,Particle,Bassett,Top
BSTE23um,SPOTSOCT00m83,0,0,Productive,Particle,Bassett,Top
BSTE23um,TA18,8,0.08,Productive,Particle,Bassett,Top
BSTH1,Alphaproteobacteria,132,1.28,Productive,Free,Bassett,Bottom
BSTH1,Betaproteobacteria,2175,21.11,Productive,Free,Bassett,Bottom
BSTH1,Deltaproteobacteria,438,4.25,Productive,Free,Bassett,Bottom
BSTH1,Epsilonproteobacteria,25,0.24,Productive,Free,Bassett,Bottom
BSTH1,Gammaproteobacteria,729,7.07,Productive,Free,Bassett,Bottom
BSTH1,SPOTSOCT00m83,0,0,Productive,Free,Bassett,Bottom
BSTH1,TA18,5,0.05,Productive,Free,Bassett,Bottom
BSTH13um,Alphaproteobacteria,65,0.63,Productive,Particle,Bassett,Bottom
BSTH13um,Betaproteobacteria,1204,11.68,Productive,Particle,Bassett,Bottom
BSTH13um,Deltaproteobacteria,662,6.42,Productive,Particle,Bassett,Bottom
BSTH13um,Epsilonproteobacteria,7,0.07,Productive,Particle,Bassett,Bottom
BSTH13um,Gammaproteobacteria,1468,14.24,Productive,Particle,Bassett,Bottom
BSTH13um,SPOTSOCT00m83,0,0,Productive,Particle,Bassett,Bottom
BSTH13um,TA18,6,0.06,Productive,Particle,Bassett,Bottom
BSTH2,Alphaproteobacteria,69,0.67,Productive,Free,Bassett,Bottom
BSTH2,Betaproteobacteria,2181,21.15,Productive,Free,Bassett,Bottom
BSTH2,Deltaproteobacteria,474,4.6,Productive,Free,Bassett,Bottom
BSTH2,Epsilonproteobacteria,6,0.06,Productive,Free,Bassett,Bottom
BSTH2,Gammaproteobacteria,521,5.05,Productive,Free,Bassett,Bottom
BSTH2,SPOTSOCT00m83,0,0,Productive,Free,Bassett,Bottom
BSTH2,TA18,5,0.05,Productive,Free,Bassett,Bottom
BSTH23um,Alphaproteobacteria,57,0.55,Productive,Particle,Bassett,Bottom
BSTH23um,Betaproteobacteria,958,9.3,Productive,Particle,Bassett,Bottom
BSTH23um,Deltaproteobacteria,746,7.24,Productive,Particle,Bassett,Bottom
BSTH23um,Epsilonproteobacteria,6,0.06,Productive,Particle,Bassett,Bottom
BSTH23um,Gammaproteobacteria,1599,15.52,Productive,Particle,Bassett,Bottom
BSTH23um,SPOTSOCT00m83,0,0,Productive,Particle,Bassett,Bottom
BSTH23um,TA18,7,0.07,Productive,Particle,Bassett,Bottom
GULE1,Alphaproteobacteria,211,2.05,Unproductive,Free,Gull,Top
GULE1,Betaproteobacteria,2434,23.63,Unproductive,Free,Gull,Top
GULE1,Deltaproteobacteria,382,3.71,Unproductive,Free,Gull,Top
GULE1,Epsilonproteobacteria,0,0,Unproductive,Free,Gull,Top
GULE1,Gammaproteobacteria,25,0.24,Unproductive,Free,Gull,Top
GULE1,SPOTSOCT00m83,0,0,Unproductive,Free,Gull,Top
GULE1,TA18,0,0,Unproductive,Free,Gull,Top
GULE13um,Alphaproteobacteria,618,5.99,Unproductive,Particle,Gull,Top
GULE13um,Betaproteobacteria,336,3.26,Unproductive,Particle,Gull,Top
GULE13um,Deltaproteobacteria,488,4.73,Unproductive,Particle,Gull,Top
GULE13um,Epsilonproteobacteria,0,0,Unproductive,Particle,Gull,Top
GULE13um,Gammaproteobacteria,140,1.36,Unproductive,Particle,Gull,Top
GULE13um,SPOTSOCT00m83,0,0,Unproductive,Particle,Gull,Top
GULE13um,TA18,0,0,Unproductive,Particle,Gull,Top
GULE2,Alphaproteobacteria,337,3.27,Unproductive,Free,Gull,Top
GULE2,Betaproteobacteria,2084,20.23,Unproductive,Free,Gull,Top
GULE2,Deltaproteobacteria,495,4.8,Unproductive,Free,Gull,Top
GULE2,Epsilonproteobacteria,0,0,Unproductive,Free,Gull,Top
GULE2,Gammaproteobacteria,20,0.19,Unproductive,Free,Gull,Top
GULE2,SPOTSOCT00m83,0,0,Unproductive,Free,Gull,Top
GULE2,TA18,0,0,Unproductive,Free,Gull,Top
GULE23um,Alphaproteobacteria,728,7.06,Unproductive,Particle,Gull,Top
GULE23um,Betaproteobacteria,278,2.7,Unproductive,Particle,Gull,Top
GULE23um,Deltaproteobacteria,229,2.22,Unproductive,Particle,Gull,Top
GULE23um,Epsilonproteobacteria,0,0,Unproductive,Particle,Gull,Top
GULE23um,Gammaproteobacteria,14,0.14,Unproductive,Particle,Gull,Top
GULE23um,SPOTSOCT00m83,0,0,Unproductive,Particle,Gull,Top
GULE23um,TA18,0,0,Unproductive,Particle,Gull,Top
GULH13um,Alphaproteobacteria,526,5.1,Unproductive,Particle,Gull,Bottom
GULH13um,Betaproteobacteria,247,2.4,Unproductive,Particle,Gull,Bottom
GULH13um,Deltaproteobacteria,468,4.54,Unproductive,Particle,Gull,Bottom
GULH13um,Epsilonproteobacteria,0,0,Unproductive,Particle,Gull,Bottom
GULH13um,Gammaproteobacteria,827,8.02,Unproductive,Particle,Gull,Bottom
GULH13um,SPOTSOCT00m83,0,0,Unproductive,Particle,Gull,Bottom
GULH13um,TA18,0,0,Unproductive,Particle,Gull,Bottom
GULH2,Alphaproteobacteria,320,3.11,Unproductive,Free,Gull,Bottom
GULH2,Betaproteobacteria,1583,15.37,Unproductive,Free,Gull,Bottom
GULH2,Deltaproteobacteria,141,1.37,Unproductive,Free,Gull,Bottom
GULH2,Epsilonproteobacteria,0,0,Unproductive,Free,Gull,Bottom
GULH2,Gammaproteobacteria,681,6.61,Unproductive,Free,Gull,Bottom
GULH2,SPOTSOCT00m83,0,0,Unproductive,Free,Gull,Bottom
GULH2,TA18,0,0,Unproductive,Free,Gull,Bottom
GULH23um,Alphaproteobacteria,305,2.96,Unproductive,Particle,Gull,Bottom
GULH23um,Betaproteobacteria,227,2.2,Unproductive,Particle,Gull,Bottom
GULH23um,Deltaproteobacteria,192,1.86,Unproductive,Particle,Gull,Bottom
GULH23um,Epsilonproteobacteria,0,0,Unproductive,Particle,Gull,Bottom
GULH23um,Gammaproteobacteria,824,8,Unproductive,Particle,Gull,Bottom
GULH23um,SPOTSOCT00m83,0,0,Unproductive,Particle,Gull,Bottom
GULH23um,TA18,0,0,Unproductive,Particle,Gull,Bottom
LEEE13um,Alphaproteobacteria,1356,13.16,Unproductive,Particle,Lee,Top
LEEE13um,Betaproteobacteria,234,2.27,Unproductive,Particle,Lee,Top
LEEE13um,Deltaproteobacteria,99,0.96,Unproductive,Particle,Lee,Top
LEEE13um,Epsilonproteobacteria,0,0,Unproductive,Particle,Lee,Top
LEEE13um,Gammaproteobacteria,11,0.11,Unproductive,Particle,Lee,Top
LEEE13um,SPOTSOCT00m83,0,0,Unproductive,Particle,Lee,Top
LEEE13um,TA18,56,0.54,Unproductive,Particle,Lee,Top
LEEE2,Alphaproteobacteria,409,3.97,Unproductive,Free,Lee,Top
LEEE2,Betaproteobacteria,1538,14.92,Unproductive,Free,Lee,Top
LEEE2,Deltaproteobacteria,212,2.06,Unproductive,Free,Lee,Top
LEEE2,Epsilonproteobacteria,0,0,Unproductive,Free,Lee,Top
LEEE2,Gammaproteobacteria,8,0.08,Unproductive,Free,Lee,Top
LEEE2,SPOTSOCT00m83,0,0,Unproductive,Free,Lee,Top
LEEE2,TA18,42,0.41,Unproductive,Free,Lee,Top
LEEE23um,Alphaproteobacteria,1609,15.6,Unproductive,Particle,Lee,Top
LEEE23um,Betaproteobacteria,224,2.17,Unproductive,Particle,Lee,Top
LEEE23um,Deltaproteobacteria,129,1.25,Unproductive,Particle,Lee,Top
LEEE23um,Epsilonproteobacteria,0,0,Unproductive,Particle,Lee,Top
LEEE23um,Gammaproteobacteria,8,0.08,Unproductive,Particle,Lee,Top
LEEE23um,SPOTSOCT00m83,0,0,Unproductive,Particle,Lee,Top
LEEE23um,TA18,61,0.59,Unproductive,Particle,Lee,Top
LEEH1,Alphaproteobacteria,262,2.54,Unproductive,Free,Lee,Bottom
LEEH1,Betaproteobacteria,851,8.26,Unproductive,Free,Lee,Bottom
LEEH1,Deltaproteobacteria,106,1.03,Unproductive,Free,Lee,Bottom
LEEH1,Epsilonproteobacteria,0,0,Unproductive,Free,Lee,Bottom
LEEH1,Gammaproteobacteria,109,1.06,Unproductive,Free,Lee,Bottom
LEEH1,SPOTSOCT00m83,0,0,Unproductive,Free,Lee,Bottom
LEEH1,TA18,0,0,Unproductive,Free,Lee,Bottom
LEEH13um,Alphaproteobacteria,1498,14.53,Unproductive,Particle,Lee,Bottom
LEEH13um,Betaproteobacteria,132,1.28,Unproductive,Particle,Lee,Bottom
LEEH13um,Deltaproteobacteria,26,0.25,Unproductive,Particle,Lee,Bottom
LEEH13um,Epsilonproteobacteria,0,0,Unproductive,Particle,Lee,Bottom
LEEH13um,Gammaproteobacteria,8,0.08,Unproductive,Particle,Lee,Bottom
LEEH13um,SPOTSOCT00m83,0,0,Unproductive,Particle,Lee,Bottom
LEEH13um,TA18,0,0,Unproductive,Particle,Lee,Bottom
LEEH2,Alphaproteobacteria,184,1.79,Unproductive,Free,Lee,Bottom
LEEH2,Betaproteobacteria,953,9.25,Unproductive,Free,Lee,Bottom
LEEH2,Deltaproteobacteria,91,0.88,Unproductive,Free,Lee,Bottom
LEEH2,Epsilonproteobacteria,0,0,Unproductive,Free,Lee,Bottom
LEEH2,Gammaproteobacteria,92,0.89,Unproductive,Free,Lee,Bottom
LEEH2,SPOTSOCT00m83,0,0,Unproductive,Free,Lee,Bottom
LEEH2,TA18,0,0,Unproductive,Free,Lee,Bottom
LEEH23um,Alphaproteobacteria,1244,12.07,Unproductive,Particle,Lee,Bottom
LEEH23um,Betaproteobacteria,183,1.78,Unproductive,Particle,Lee,Bottom
LEEH23um,Deltaproteobacteria,62,0.6,Unproductive,Particle,Lee,Bottom
LEEH23um,Epsilonproteobacteria,0,0,Unproductive,Particle,Lee,Bottom
LEEH23um,Gammaproteobacteria,60,0.58,Unproductive,Particle,Lee,Bottom
LEEH23um,SPOTSOCT00m83,0,0,Unproductive,Particle,Lee,Bottom
LEEH23um,TA18,5,0.05,Unproductive,Particle,Lee,Bottom
LONE1,Alphaproteobacteria,450,4.37,Unproductive,Free,LittleLong,Top
LONE1,Betaproteobacteria,2091,20.28,Unproductive,Free,LittleLong,Top
LONE1,Deltaproteobacteria,411,3.99,Unproductive,Free,LittleLong,Top
LONE1,Epsilonproteobacteria,10,0.1,Unproductive,Free,LittleLong,Top
LONE1,Gammaproteobacteria,90,0.87,Unproductive,Free,LittleLong,Top
LONE1,SPOTSOCT00m83,0,0,Unproductive,Free,LittleLong,Top
LONE1,TA18,52,0.5,Unproductive,Free,LittleLong,Top
LONE2,Alphaproteobacteria,422,4.09,Unproductive,Free,LittleLong,Top
LONE2,Betaproteobacteria,1545,14.99,Unproductive,Free,LittleLong,Top
LONE2,Deltaproteobacteria,243,2.36,Unproductive,Free,LittleLong,Top
LONE2,Epsilonproteobacteria,0,0,Unproductive,Free,LittleLong,Top
LONE2,Gammaproteobacteria,148,1.44,Unproductive,Free,LittleLong,Top
LONE2,SPOTSOCT00m83,0,0,Unproductive,Free,LittleLong,Top
LONE2,TA18,56,0.54,Unproductive,Free,LittleLong,Top
LONH1,Alphaproteobacteria,218,2.12,Unproductive,Free,LittleLong,Bottom
LONH1,Betaproteobacteria,810,7.86,Unproductive,Free,LittleLong,Bottom
LONH1,Deltaproteobacteria,223,2.16,Unproductive,Free,LittleLong,Bottom
LONH1,Epsilonproteobacteria,0,0,Unproductive,Free,LittleLong,Bottom
LONH1,Gammaproteobacteria,220,2.14,Unproductive,Free,LittleLong,Bottom
LONH1,SPOTSOCT00m83,0,0,Unproductive,Free,LittleLong,Bottom
LONH1,TA18,0,0,Unproductive,Free,LittleLong,Bottom
LONH13um,Alphaproteobacteria,243,2.36,Unproductive,Particle,LittleLong,Bottom
LONH13um,Betaproteobacteria,128,1.24,Unproductive,Particle,LittleLong,Bottom
LONH13um,Deltaproteobacteria,298,2.89,Unproductive,Particle,LittleLong,Bottom
LONH13um,Epsilonproteobacteria,0,0,Unproductive,Particle,LittleLong,Bottom
LONH13um,Gammaproteobacteria,65,0.63,Unproductive,Particle,LittleLong,Bottom
LONH13um,SPOTSOCT00m83,0,0,Unproductive,Particle,LittleLong,Bottom
LONH13um,TA18,0,0,Unproductive,Particle,LittleLong,Bottom
LONH2,Alphaproteobacteria,185,1.8,Unproductive,Free,LittleLong,Bottom
LONH2,Betaproteobacteria,773,7.5,Unproductive,Free,LittleLong,Bottom
LONH2,Deltaproteobacteria,219,2.12,Unproductive,Free,LittleLong,Bottom
LONH2,Epsilonproteobacteria,0,0,Unproductive,Free,LittleLong,Bottom
LONH2,Gammaproteobacteria,173,1.68,Unproductive,Free,LittleLong,Bottom
LONH2,SPOTSOCT00m83,0,0,Unproductive,Free,LittleLong,Bottom
LONH2,TA18,0,0,Unproductive,Free,LittleLong,Bottom
PAYE1,Alphaproteobacteria,418,4.06,Productive,Free,Payne,Top
PAYE1,Betaproteobacteria,1532,14.86,Productive,Free,Payne,Top
PAYE1,Deltaproteobacteria,142,1.38,Productive,Free,Payne,Top
PAYE1,Epsilonproteobacteria,0,0,Productive,Free,Payne,Top
PAYE1,Gammaproteobacteria,74,0.72,Productive,Free,Payne,Top
PAYE1,SPOTSOCT00m83,0,0,Productive,Free,Payne,Top
PAYE1,TA18,5,0.05,Productive,Free,Payne,Top
PAYE13um,Alphaproteobacteria,854,8.28,Productive,Particle,Payne,Top
PAYE13um,Betaproteobacteria,356,3.45,Productive,Particle,Payne,Top
PAYE13um,Deltaproteobacteria,134,1.3,Productive,Particle,Payne,Top
PAYE13um,Epsilonproteobacteria,0,0,Productive,Particle,Payne,Top
PAYE13um,Gammaproteobacteria,48,0.47,Productive,Particle,Payne,Top
PAYE13um,SPOTSOCT00m83,0,0,Productive,Particle,Payne,Top
PAYE13um,TA18,29,0.28,Productive,Particle,Payne,Top
PAYE2,Alphaproteobacteria,337,3.27,Productive,Free,Payne,Top
PAYE2,Betaproteobacteria,1400,13.59,Productive,Free,Payne,Top
PAYE2,Deltaproteobacteria,148,1.44,Productive,Free,Payne,Top
PAYE2,Epsilonproteobacteria,0,0,Productive,Free,Payne,Top
PAYE2,Gammaproteobacteria,64,0.62,Productive,Free,Payne,Top
PAYE2,SPOTSOCT00m83,0,0,Productive,Free,Payne,Top
